city,PRSDEM01,PRSREP01
AUBURN,10443.781700539641,12330.631003839235
COLFAX,2097.395741923314,3242.163155290769
ELVERTA,68.0,178.625
EMIGRANT GAP,1.0,1.0
FORESTHILL,1220.2941176470588,2635.0588235294117
GRANITE BAY,5839.767184758102,7283.459527483621
KINGS BEACH,1018.5438247011953,287.40865110984635
LINCOLN,13465.155980897736,17787.30568843832
LOOMIS,2713.7442248572684,4896.088403508966
MEADOW VISTA,1377.9752361142343,1784.0539970766808
NEWCASTLE,1071.4173089763565,1749.4814958684337
PENRYN,611.9672573189522,1064.8378274268105
PLEASANT GROVE,8.997829625610418,50.38035811177428
ROCKLIN,18156.800964560174,20076.396761668333
ROSEVILLE,40924.62838492494,42542.42493786
SHERIDAN,192.25663716814157,499.2756977535738
SODA SPRINGS,138.0,20.0
TAHOE CITY,1563.2801897983393,479.46026097271647
TRUCKEE,641.0,204.0
